timestamp,x,y,timestamp_sec,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,angular_velocity,is_fixation,fixation_group
1741709186345,772,382,62.811,0.03300000000000125,94.0,5.0,94.13288479590966,2852.5116604820028,-224981.90053533853,0.053141408844935456,0.4150756243986189,12.578049224200095,False,172
1741709186377,483,230,62.843,0.03200000000000358,-289.0,-152.0,326.5348373451139,10204.213667033668,229740.6877047138,-2.6573999905555867,-2.710541399400522,-84.70441873125684,False,172
1741709186409,450,131,62.875,0.031999999999996476,-33.0,-99.0,104.35516278555652,3261.0988370490004,-216972.33843704476,-1.892546881191539,0.764853109364048,23.901659667629133,False,172
1741709186443,778,175,62.909,0.03399999999999892,328.0,44.0,330.9380606699689,9733.472372646453,190363.92751757818,0.13335025417155244,2.025897135363092,59.58520986362224,False,172
1741709186478,566,205,62.944,0.035000000000003695,-212.0,30.0,214.11212016137713,6117.489147467272,-103313.80643367996,3.0010166021802354,2.867666348008683,81.93332422881086,False,172
1741709186512,411,597,62.978,0.03399999999999892,-155.0,392.0,421.5317307154943,12397.992079867872,184720.67448237646,1.9473379669722246,-1.0536786352080107,-30.990548094354242,False,172
1741709186544,364,414,63.01,0.031999999999996476,-47.0,-183.0,188.939143641544,5904.348238798901,-202926.37003342772,-1.8221933870207456,2.5136539531866156,78.55168603709039,False,172
1741709186576,306,308,63.042,0.03200000000000358,-58.0,-106.0,120.83045973594572,3775.9518667478815,-66512.3866265869,-2.0714640516696328,-0.24927066464888714,-7.789708270276852,False,172
1741709186611,347,562,63.077,0.03499999999999659,41.0,254.0,257.2877766237642,7351.079332108266,102146.49901030664,1.4107594259420502,-2.8009618295679033,-80.02748084480504,False,172
1741709186645,270,566,63.111,0.03399999999999892,-77.0,4.0,77.10382610480494,2267.7595913178643,-149509.4041408989,3.0896912551316205,1.6789318291895707,49.380347917341886,False,172
1741709186676,258,386,63.142,0.03100000000000591,-12.0,-180.0,180.3995565404749,5819.340533562597,114567.12716916307,-1.6373644905707205,1.5561295614772455,50.19772778957899,False,172
1741709186711,228,484,63.177,0.03499999999999659,-30.0,98.0,102.48902380255166,2928.2578229303326,-82602.36316092988,1.8678605391359393,-2.7779602774729266,-79.37029364209135,False,172
1741709186745,468,405,63.211,0.03399999999999892,240.0,-79.0,252.66776604861965,7431.404883783167,132445.50178979346,-0.31799587867399265,-2.185856417809932,-64.28989464147062,False,172
1741709186778,331,404,63.244,0.03300000000000125,-137.0,-1.0,137.00364958642524,4151.625745043032,-99387.24662848517,-3.134293513146096,-2.8162976344721034,-85.34235255975747,False,172
1741709186811,548,545,63.277,0.03300000000000125,217.0,141.0,258.7856255668,7841.988653539096,111829.17904533104,0.5762132248044912,-2.5726785692289997,-77.95995664330007,False,172
1741709186844,495,365,63.31,0.03300000000000125,-53.0,-180.0,187.6406139405859,5686.0792103205695,-65330.58918843773,-1.8571485203828462,-2.4333617451873373,-73.7382347026438,False,172
1741709186875,300,386,63.341,0.030999999999998806,-195.0,21.0,196.12750954417385,6326.693856263916,20664.98857881843,3.0343137979413903,-1.3917229888553493,-44.89428996307751,False,172
1741709186912,482,408,63.378,0.036999999999999034,182.0,22.0,183.3248482884958,4954.725629418935,-37080.22234716263,0.12029547692795413,-2.9140183210134363,-78.75725191928412,False,172
1741709186945,411,254,63.411,0.03300000000000125,-71.0,-154.0,169.57889019568444,5138.754248353879,5576.6248162102265,-2.002792240774225,-2.123087717702179,-64.33599144551813,False,172
1741709186976,503,342,63.442,0.030999999999998806,92.0,88.0,127.31064370271639,4106.7949581523,-33289.00936134255,0.7631795980707292,2.765971838844954,89.22489802726001,False,172
1741709187011,652,422,63.477,0.03499999999999659,149.0,80.0,169.11830178901394,4831.951479686583,20718.757758124404,0.4927399277675832,-0.270439670303146,-7.726847722947781,False,172
1741709187044,501,261,63.51,0.03300000000000125,-151.0,-161.0,220.7306050369998,6688.806213242165,56268.32525925791,-2.324154176644878,-2.816894104412461,-85.36042740643498,False,172
1741709187079,586,427,63.545,0.035000000000003695,85.0,166.0,186.49664876345634,5328.475678955333,-38866.586693905374,1.0975566858441026,-2.8614744446906055,-81.75641270543724,False,172
1741709187110,627,414,63.576,0.030999999999998806,41.0,-13.0,43.01162633521314,1387.4718172649934,-127129.15682872552,-0.30704573201879076,-1.4046024178628933,-45.30975541493379,False,172
1741709187146,508,300,63.612,0.036000000000001364,-119.0,-114.0,164.7938105633825,4577.605848982674,88614.83421437665,-2.3776504245896977,-2.0706046925709067,-57.51679701585634,False,172
1741709187176,1033,228,63.642,0.030000000000001137,525.0,-72.0,529.9141439893825,17663.804799645415,436206.6316887415,-0.13629262969557313,2.2413577948941246,74.71192649646798,False,172
